Week,DPR no.,Report Date,Medium,Source ID ,Source title ,Source type,Content provider,No. of Correction,Pub year,Volume ,Issue,Article/Iss,Article title,Type of request,Correction Field,Correction Type,Missing/Error,CAR Supplier
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Development and validation of the Parents’ Perceived Self-Efficacy to Manage Children’s Internet Use Scale for parents of adolescents with attention-deficit/hyperactivity disorder,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,How do online sports gambling disorder patients compare with land-based patients?,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,"How coping styles, cognitive distortions, and attachment predict problem gambling among adolescents and young adults",MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Impulsivity and compulsivity in Internet gaming disorder: A comparison with obsessive–compulsive disorder and alcohol use disorder,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Accident risk associated with smartphone addiction: A study on university students in Korea,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Psychometric validation of the Persian Bergen Social Media Addiction Scale using classic test theory and Rasch models,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Tolerance in Internet gaming disorder: A need for increasing gaming time or something else?,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Comorbidity of Internet use disorder and attention deficit hyperactivity disorder: Two adult case–control studies,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Established risk factors for addiction fail to discriminate between healthy gamers and gamers endorsing DSM-5 Internet gaming disorder,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Investigating the differential effects of social networking site addiction and Internet gaming disorder on psychological health,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Alexithymia predicts loss chasing for people at risk for problem gambling,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Problem gambling and substance use in patients attending community mental health services,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Internet gaming disorder and online gambling disorder: Clinical and personality correlates,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Peer relationship and adolescent smartphone addiction: The mediating role of self-esteem and the moderating role of the need to belong,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Gambling and family: A two-way relationship,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Connected to TV series: Quantifying series watching engagement,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Measures of behavioral function predict duration of video game play: Utilization of the Video Game Functional Assessment – Revised,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Insomnia partially mediated the association between problematic Internet use and depression among secondary school students in China,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Attachment and emotion regulation in substance addictions and behavioral addictions,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001795,31-Dec-17,Journal,628892963,Journal of Behavioral Addictions,J,Akademiai Kiado Rt.,-,2017,6,4,Article,Association between Internet gaming disorder and generalized anxiety disorder,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171230-000597,30-Dec-17,Journal,259427899,International Journal of Pure and Applied Mathematics,J,Academic Press,-,2017,117,-,Article,AN EMPIRICAL STUDY ON ASSESSMENT AND ATTAINMENT METHOD OF COURSE OUTCOME AND PROGRAMME OUTCOME FOR NBA TIER II ACCREDITATION IN ENGINEERING COLLEGES THROUGH OUTCOME BASED EDUCATION (OBE),MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171230-001021,30-Dec-17,Journal,301924699,Dental Hypotheses,J,E-Flow Medknow Publications,-,2017,8,4,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001798,31-Dec-17,Journal,259427899,International Journal of Pure and Applied Mathematics,J,Academic Press,-,2017,113,-,Article,Stochastic Time Series Analysis for Wheat (Triticum aestivum) Production in India,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001798,31-Dec-17,Journal,259427899,International Journal of Pure and Applied Mathematics,J,Academic Press,-,2017,113,-,Article,Implementation of ARIMA Model for Ghee Production in Tamilnadu,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171230-001033,30-Dec-17,Journal,76881899,Drug Delivery,J,E-flow Taylor and Francis,-,2018,25,1,Article,"Enhancement of dissolution and oral bioavailability of lacidipine via pluronic P123/ F127 mixed polymeric micelles: formulation, optimization using central composite design and in vivo bioavailability study",MC,Single Article missing,Missing content,-,Spi
Week-1,171231-001073,31-Dec-17,Journal,78486799,Ocular Surface,J,E-Flow Elsevier,-,2017,15,3,Article,TFOS DEWS II Epidemiology Report,MC,Single Article missing,Missing content,-,Aptara
Week-1,171231-001073,31-Dec-17,Journal,78486799,Ocular Surface,J,E-Flow Elsevier,-,2017,15,3,Article,TFOS DEWS II Tear Film Report,MC,Single Article missing,Missing content,-,Aptara
Week-1,171231-001073,31-Dec-17,Journal,78486799,Ocular Surface,J,E-Flow Elsevier,-,2017,15,3,Article,"TFOS DEWS II Sex, Gender, and Hormones Report",MC,Single Article missing,Missing content,-,Aptara
Week-1,171231-001073,31-Dec-17,Journal,78486799,Ocular Surface,J,E-Flow Elsevier,-,2017,15,3,Article,TFOS DEWS II iatrogenic report,MC,Single Article missing,Missing content,-,Aptara
Week-1,171231-001073,31-Dec-17,Journal,78486799,Ocular Surface,J,E-Flow Elsevier,-,2017,15,3,Article,TFOS DEWS II Diagnostic Methodology report,MC,Single Article missing,Missing content,-,Aptara
Week-1,171231-001073,31-Dec-17,Journal,78486799,Ocular Surface,J,E-Flow Elsevier,-,2017,15,3,Article,TFOS DEWS II Management and Therapy Report,MC,Single Article missing,Missing content,-,Aptara
